[2026-09-09 13:54:10] [INFO    ] discord.client: logging in using static token
[2026-09-09 13:54:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-09-09 13:54:11] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-09-09 13:54:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1387521864192102602', 'username': 'D.E.B.B.I.E', 'avatar': 'a_6e662f1d3ed3c28dcb070edf6f8d5229', 'discriminator': '7400', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-09-09 13:54:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-09-09 13:54:11] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-09-09 13:54:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1387521864192102602', 'name': 'D.E.B.B.I.E', 'icon': '1374de865d5404a3babc9cbd5d7444be', 'description': "Downer's Enhanced Bot Built for Interactive Engagement", 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'flags': 557056, 'flags_new': '557056', 'bot': {'id': '1387521864192102602', 'username': 'D.E.B.B.I.E', 'avatar': 'a_6e662f1d3ed3c28dcb070edf6f8d5229', 'discriminator': '7400', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '09d816494cd40b718b793b442a27168feba552cf5836d301248dea61ab99b115', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '525885316050190348', 'username': 'downabyzmal', 'avatar': 'eba802a39e58cc3856c8245b5b3dd1ad', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 1579292, 'global_name': 'downer', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': '#18191c', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'private_channel_obfuscation_enabled': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets', 'eligible_oauth2_scopes': ['applications.builds.read', 'applications.commands', 'applications.commands.permissions.update', 'applications.entitlements', 'applications.store.update', 'bot', 'connections', 'email', 'gdm.join', 'guilds', 'guilds.join', 'guilds.members.read', 'identify', 'messages.read', 'openid', 'role_connections.write', 'rpc', 'rpc.activities.write', 'rpc.notifications.read', 'rpc.screenshare.read', 'rpc.screenshare.write', 'rpc.video.read', 'rpc.video.write', 'rpc.voice.read', 'rpc.voice.write', 'webhook.incoming']}
[2026-09-09 13:54:12] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-09-09 13:54:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-scmk",{"micros":0.0}]']}}
[2026-09-09 13:54:12] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-09-09 13:54:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-09-09 13:54:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'D.E.B.B.I.E', 'primary_guild': None, 'mfa_enabled': True, 'id': '1387521864192102602', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7400', 'clan': None, 'bot': True, 'avatar': 'a_6e662f1d3ed3c28dcb070edf6f8d5229'}, 'session_type': 'normal', 'session_id': 'c485662497ea9d75dc392623cfa4311a', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '716017804117016607'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1387521864192102602', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-scmk",{"micros":386513,"calls":["id_created",{"micros":807,"calls":[]},"session_lookup_time",{"micros":1045,"calls":[]},"session_lookup_finished",{"micros":17,"calls":[]},"sessions-prd-gcp-us-east1-d-32",{"micros":384152,"calls":["start_session",{"micros":342923,"calls":["prd-rpc-75698f46fc-5w469",{"micros":92041,"calls":["get_user",{"micros":17864},"get_guilds",{"micros":5443},"send_scheduled_deletion_message",{"micros":20},"guild_join_requests",{"micros":2241},"authorized_ip_coro",{"micros":19},"pending_payments",{"micros":2282},"apex_experiments",{"micros":203331},"sessions_experiments",{"micros":13},"played_application_ids",{"micros":9},"linked_users",{"micros":8},"ad_personalization_toggles_disabled",{"micros":8},"regional_feature_config",{"micros":8}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"presence_started",{"micros":19190,"calls":[]},"guilds_started",{"micros":81,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":21899,"calls":[]},"connect_finished",{"micros":21911,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-09-09 13:54:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-09-09 13:54:12] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c485662497ea9d75dc392623cfa4311a).
[2026-09-09 13:54:12] [DEBUG   ] discord.client: Dispatching event connect
