timestamp,symbol,action,rsi,price,type
2026-09-09T14:12:23.296029,TSLA,BUY,41.93,368.18,SIMULATED
2026-09-09T14:12:23.505115,NVDA,BUY,46.89,224.115,SIMULATED
2026-09-09T14:12:23.726413,AAPL,BUY,42.71,311.885,SIMULATED
2026-09-09T14:12:23.956966,MSFT,BUY,46.63,492.485,SIMULATED
2026-09-09T14:12:24.246267,QQQ,BUY,49.39,716.32,SIMULATED
2026-09-09T14:50:34.856787,AAPL,SELL,66.11,316.66,SIMULATED
2026-09-09T14:50:35.264834,AMD,BUY,46.08,522.285,SIMULATED
2026-09-09T15:55:45.861169,TSLA,SELL,40.00,367.99,SIMULATED
2026-09-09T15:55:45.922784,NVDA,SELL,43.96,223.76,SIMULATED
2026-09-09T15:55:45.981637,MSFT,SELL,44.60,491.69,SIMULATED
2026-09-09T15:55:46.047837,QQQ,SELL,44.97,715.995,SIMULATED
2026-09-09T15:55:46.108571,AMD,SELL,44.17,520.535,SIMULATED
